15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5283470000	-72.5158171	-78.6191188	-72.5279674	-73.6205713
5283480000	-72.1556048	-78.037429	-72.209388	-73.2801895
5283490000	-72.1421463	-74.6914972	-72.3237764	-73.0819896
5283500000	-72.2204447	-73.9916504	-71.9852896	-73.4277301
5283510000	-71.9988325	-76.112231	-72.0471023	-73.1131403
5283520000	-72.2211368	-76.5910778	-72.3174719	-72.2324928
5283530000	-72.0725707	-77.1521181	-71.9867432	-73.6392738
5283540000	-71.855751	-75.1045772	-71.7134823	-74.1803826
5283550000	-71.7945523	-75.7916955	-71.6852642	-72.4053736
5283560000	-71.7831908	-74.6043888	-71.4980985	-70.9023848
5283570000	-71.9490249	-75.4959992	-71.6235589	-72.9900631
5283580000	-71.5824192	-75.6592715	-71.399675	-69.5426759
5283590000	-71.3858921	-72.8711296	-71.5052511	-71.921392
5283600000	-71.2616914	-74.6861075	-71.4765394	-71.1758674
5283610000	-71.3119262	-75.0359948	-71.3438578	-71.080702
5283620000	-71.4906882	-74.9395382	-71.2267092	-71.5630577
5283630000	-71.2044728	-72.5977488	-70.948387	-70.3051934
5283640000	-71.01108	-72.0940883	-70.9770544	-71.8023678
5283650000	-71.0475931	-73.102384	-70.8802081	-70.2171708
5283660000	-70.8172382	-74.4200957	-70.6304248	-69.6052947
5283670000	-70.9769918	-72.1848404	-70.5624701	-70.1724932
5283680000	-70.7513642	-72.8617686	-70.620278	-70.3160521
5283690000	-70.3254727	-72.646479	-70.4314458	-67.9328249
5283700000	-70.3747742	-71.0861784	-70.5204274	-69.6114047
5283710000	-70.4694235	-71.1214033	-70.4803796	-66.4974612
5283720000	-70.2729692	-70.981165	-70.1675031	-68.6207227
5283730000	-70.1973712	-71.3429856	-70.2444286	-66.5683473
5283740000	-70.1619244	-70.3712225	-70.2458598	-67.6418503
5283750000	-69.9105673	-69.1381946	-69.9634343	-66.449001
5283760000	-69.7978712	-70.9121498	-69.7862078	-68.2499047
5283770000	-69.6804571	-70.4140376	-69.6339804	-67.2041715
5283780000	-69.5584374	-69.8466175	-69.7279869	-66.8315153
5283790000	-69.5596493	-68.6721859	-69.4683609	-66.8731599
5283800000	-69.4016828	-68.0658029	-69.3490094	-66.1214999
5283810000	-69.6023013	-70.1295206	-69.3598201	-66.0156925
5283820000	-69.2266458	-68.9296367	-69.3038869	-66.6823851
5283830000	-69.0656078	-69.1413211	-69.0911758	-66.1130815
5283840000	-69.1429348	-67.0403989	-69.0539735	-65.776281
5283850000	-68.7692889	-68.2009126	-68.8782646	-64.5204931
5283860000	-68.7983314	-68.3312988	-68.7550291	-65.333305
5283870000	-68.5609116	-68.5351831	-68.6696602	-64.0784698
5283880000	-68.4491781	-66.4067455	-68.2566949	-62.9786771
5283890000	-68.3424528	-67.084233	-68.2444863	-64.2066446
5283900000	-68.07342	-67.5222511	-68.0715231	-64.7726153
5283910000	-68.1441159	-66.1160187	-68.3303161	-63.5578921
5283920000	-68.1229404	-65.7993198	-67.8729732	-63.3070283
5283930000	-67.8361586	-66.1665225	-67.89789	-63.2021696
5283940000	-67.6935701	-65.8653406	-67.7573965	-63.4348574
5283950000	-67.7620808	-65.7966481	-67.6225734	-62.9070419
5283960000	-67.7569628	-64.8344871	-67.4929038	-62.8921261
5283970000	-67.4272191	-65.0048752	-67.3749473	-62.1267783
5283980000	-67.2368396	-65.3352914	-66.8914617	-62.7080602
5283990000	-66.9756754	-65.2413899	-66.9093735	-61.7051119
5284000000	-66.7777888	-64.7298705	-66.8882251	-62.1961788
5284010000	-66.7677575	-63.7228167	-66.8166655	-61.3509437
5284020000	-66.6577981	-63.4103917	-66.4295483	-60.9088608
5284030000	-66.4943383	-64.1881476	-66.4247241	-60.0656648
5284040000	-66.2542974	-63.2262084	-66.2925623	-60.4635302
5284050000	-66.0697838	-63.0484466	-65.8780054	-60.253016
5284060000	-66.0193239	-62.7894234	-65.8358647	-59.5927772
5284070000	-65.7951879	-61.8745431	-65.8226604	-60.007049
5284080000	-65.7886182	-61.7802724	-65.6479756	-59.8191089
